"","Current Price","Annualized Dividend","Beta","EPS","P/E Ratio","Forward P/E (1y)","52 Week High","52 Week Low","Lower BB","Upper BB","SMA_50","SMA_200","RSI","Stochastic RSI","EBITDA margin","Book Val/share","CF/share","FCF/share","Gross margin","ROA","ROIC","Tang Book Val","Debt-to-Equity","Liquidity (Current Ratio)"
"AA","36.55","N/A","1.76","N/A","N/A","N/A","39.78","20","29.4644420384266","37.8795579615734","32.7922","31.726228695","70.6226148856463","1","+1.10 B","30.91","-1.70","-3.91","+7.60","-1.50","-2.84","29.32","-25.19","1.13"
"ARNC","24.781",".24","2.41","-1.64","NE","21.51","32.9103","16.75","21.8174213176421","26.0115786823579","25.956","24.1010961","53.7586944550664","1","+2.35 B","11.53","+1.75","-1.34","+16.90","N/A","N/A","-2.46","-159.13","2.14"
"AAPL","150.62","2.52","1.6","8.55","17.62","16.79","156.65","96.42","141.338815656417","150.577184343583","149.399","131.923849495","63.3139235200009","1","+68.99 B","24.03","+11.97","+7.44","+38.61","14.93","24.27","22.42","-58.81","1.35"
"ADM","41.425","1.28","0.9","2.38","17.41","15.88","47.88","40.22","40.505143704471","41.8358562955289","41.7164","43.82920011","46.7416028313133","0.827055299525095","+2.79 B","29.97","+2.50","-0.18","+6.20","3.20","5.40","23.51","-37.87","1.60"
"AMGN","179.26","4.60","0.81","10.53","17.03","14.32","184.21","133.64","169.283196060501","178.347803939499","165.3776","160.628299955","72.6344384235661","1","+11.63 B","40.47","+13.73","+8.78","+81.65","10.35","13.15","6.56","-101.06","4.11"
"AMZN","1029.63","N/A","1.2","5.32","193.55","154.44","1,031.59","710.10","954.180320081503","1030.0356799185","984.411","865.45835171","64.2344056806448","1","+11.84 B","40.43","+33.97","+20.05","+35.09","3.08","7.64","30.71","-78.89","1.04"
"AWK","81.04","1.66","0.56","2.69","30.11","26.18","83.21","69.4136","76.5074585475165","81.5735414524836","78.504","75.284999915","57.6620986420151","1","+1.54 B","29.30","+7.13","-1.65","+40.22","2.48","4.27","21.69","-110.37","0.33"
"BA","210.451","5.68","0.95","8.16","25.81","22.19","210.93","126.31","194.708078460414","211.123921539586","193.6458","169.764450375","78.274903539462","1","+7.45 B","1.32","+16.33","+7.98","+14.57","5.31","38.44","-11.42","-1,171.11","1.25"
"BF.B","50",".73","-0.1","1.70","28.27","N/A","59.71","43.72","47.0523959713282","49.3956040286718","49.9222","47.10805","46.4150305513521","1","+987.00 M","3.57","+1.64","+0.64","+67.04","15.19","22.87","-0.06","-123.28","2.42"
"BRK.B","166","N/A","0.87","9.15","18.74","N/A","177.86","141.92","167.098133758034","172.280866241966","167.672","162.98105","58.57597149117","0.598698961693391","+44.47 B","114.74","+13.19","+7.94","+24.13","4.10","6.85","68.69","-31.55","3.01"
"BX","34.145","3.48","1.53","2.01","17.03","12.56","35.09","23.33","32.3111746009656","34.6778253990344","32.5866","29.402850055","75.1839051653427","1","N/A","10.04","+0.29","-1.41","+96.77","4.23","7.50","6.96","-137.23","N/A"
"CAT","107.28","3.12","1.36","-0.27","NE","25.37","110","78.34","103.083720459124","110.224279540876","105.0856","96.36199987","55.4540347472606","0.298827307371134","+5.15 B","22.40","+9.60","+1.51","+23.50","-0.09","-0.18","8.13","-173.69","1.22"
"CMI","164.40","4.32","1.13","8.73","18.84","17.71","167.17","116.02","157.471912291665","168.175087708335","159.8552","146.827400665","59.3365348582564","0.407298674745983","+2.32 B","40.87","+11.43","+4.30","+25.49","9.25","16.00","36.05","-22.81","1.78"
"CSCO","31.86","1.16","0.97","1.99","16.01","14.65","34.60","29.12","30.637031101057","32.308968898943","31.8684","31.79245004","56.6893929599971","1","+15.12 B","12.64","+2.67","+1.51","+63.86","9.13","12.69","6.85","-38.50","3.16"
"CSX","50.805",".80","1.39","1.83","27.77","23.75","55.4791","27.46","52.015025722847","56.0969742771529","53.2576","44.228550005","36.9882751154202","0","+4.81 B","12.58","+3.21","-0.04","+32.56","4.82","7.62","12.51","-93.86","1.22"
"CVS","77.25","2","1.1","4.80","16.09","13.34","98.656","69.30","76.2413744388157","81.3366255611844","78.5816","79.811299875","41.5001969597759","0.0277629820793365","+13.11 B","34.71","+9.33","+5.57","+16.28","5.63","8.40","-14.07","-69.55","1.18"
"CVX","104.725","4.32","0.65","1.53","68.43","24.93","119","97.525","102.861404893658","105.550595106342","105.0928","108.69130001","49.5035759345942","0.615927575591611","+14.03 B","76.95","+6.86","-7.07","+9.45","-0.19","-0.27","74.53","-24.24","0.93"
"DAL","52.865",".81","1.53","5.03","10.5","9.97","55.75","35.84","52.2323711825011","55.7646288174989","51.8356","48.20344988","53.4258486093497","0","+9.18 B","16.81","+27.72","7.32","24.22","-3.22","-50.47","0.49","+9.18 B","16.81"
"DIS","107.40","1.56","0.91","5.74","18.71","17.73","116.10","90.315","102.746028613017","107.402971386983","106.3648","105.630500035","55.6496714261409","1","+16.68 B","27.04","+8.06","+3.74","+41.38","10.42","16.05","5.32","-38.10","0.94"
"DOW","66.42","1.84","1.48","3.93","16.91","16.45","66.79","51.57","61.8762578446755","66.8557421553245","63.347","59.991249935","65.6330532214018","0.920117369430415","+8.76 B","21.46","+4.88","-0.76","+21.63","5.82","9.76","3.87","-78.72","1.88"
"DUK","84.855","3.56","0.39","3.13","27.11","18.31","87.75","72.34","81.9821582544286","86.7338417455715","84.7202","80.262250095","49.9644043823734","1","+8.85 B","58.62","+9.84","-4.97","+29.43","1.96","3.13","30.55","-111.07","0.70"
"EMR","60.355","1.92","1.04","2.35","25.67","23.31","64.365","49.22","58.2424543364452","60.7335456635547","59.385","57.721900045","56.6516893276804","1","+3.36 B","11.77","+4.45","+1.87","+43.07","7.26","13.25","4.29","-53.67","1.24"
"F","11.70",".60","0.82","0.93","12.59","7.53","14.04","10.67","10.8443587153768","11.8566412846232","11.1912","11.87965","68.3354797901897","1","+12.30 B","7.21","+4.95","+2.36","+15.20","1.99","3.81","7.15","-319.85","1.20"
"FB","164.54","N/A","1.62","3.78","43.52","32.53","165.70","113.5535","145.751231000466","163.695768999534","152.2874","136.31289998","71.6913308825727","1","+14.84 B","20.47","+5.51","+3.97","+86.29","17.82","19.68","13.33","N/A","11.97"
"GBX","44.80",".88","1.59","3.97","11.28","12.41","51.25","28.95","40.5436017213384","50.3963982786616","45.727","42.440249895","48.4187408870729","0.70239101867988","+457.98 M","31.00","+10.46","+5.46","+21.35","10.10","16.38","28.44","-34.77","2.29"
"GE","26.685",".96","0.92","0.98","27.24","16.56","33","25.85","25.9875741336891","27.9434258663109","27.6576","29.522000095","45.1097676894317","1","+20.78 B","8.67","-0.03","-1.78","+33.07","2.28","4.57","-1.26","-139.14","1.38"
"GILD","73.39","2.08","0.81","9.46","7.76","8.92","88.85","63.759","68.2512080895428","72.6877919104572","67.2346","70.400350005","72.0634187053697","1","+19.55 B","14.42","+12.27","+9.92","+85.49","24.81","31.78","6.67","-139.49","2.22"
"GLW","31.75",".62","1.82","3.67","8.63","18.10","31.75","20.76","29.3536363821605","31.5843636178395","29.7608","26.62884994","70.2052870983223","1","+2.64 B","16.84","+2.20","+0.65","+39.57","13.09","16.71","14.28","-23.38","3.29"
"GOOGL","991.95","N/A","1.44","29.54","33.58","28.60","1,008.61","743.59","915.797000472404","1002.5869995276","967.648","864.75025149","62.8831661226382","1","+29.32 B","201.12","+51.58","+36.96","+60.84","12.37","14.68","172.52","-2.83","6.29"
"HD","147.0094","3.56","0.74","6.68","22.02","21.28","160.86","119.20","150.047400468061","155.623599531939","154.5518","142.04144987","49.9878061087172","0.850939133853961","+15.44 B","3.60","+7.93","+3.86","+32.31","18.61","29.53","1.39","-515.79","1.25"
"HUM","235.83","1.60","0.64","9.85","23.95","21.40","243.74","152.81","234.665461333169","241.777538666831","234.0406","209.792900165","49.5723284589837","0.153986475157461","N/A","71.56","+12.83","+8.16","N/A","2.41","4.29","47.77","-35.49","N/A"
"JNJ","136.63","3.36","0.45","5.95","22.98","18.61","137","109.32","130.302860077671","136.735139922329","130.7182","121.566900235","64.1100160553825","1","+25.10 B","26.02","+6.73","+2.48","+69.92","12.05","18.70","7.66","-31.87","2.47"
"JPM","91.29","2","0.98","6.76","13.52","13.48","94.51","63.38","86.2374806803042","95.7485193196958","87.7192","84.10494994","55.7307933087529","0.0289104556146934","N/A","64.06","N/A","0.99","4.68","50.54","-118.49","N/A","N/A","64.06"
"KMI","20.61",".50","0.96","0.31","66.31","30.08","23.36","18.31","18.5340696240882","19.7979303759118","19.2194","20.85790002","60.5523454290478","1","+6.07 B","15.44","+2.25","+0.39","+38.22","0.86","0.94","4.02","-108.49","0.55"
"KO","44.81","1.48","0.36","1.43","31.35","23.79","46.06","39.88","44.1386563159596","45.4563436840405","44.8324","42.631949855","51.6125695486622","1","+11.15 B","5.38","+2.01","+0.11","+59.83","7.36","12.23","0.45","-128.71","1.28"
"KR","23.255",".50","1.26","1.66","14.01","11.49","36.55","20.46","22.2728808888616","23.5491191111384","26.4274","30.48719999","36.5791126149499","1","+5.78 B","7.25","+4.45","+0.14","+20.37","5.41","11.18","2.72","-176.55","0.80"
"LMT","289.61","7.28","0.74","17.21","16.82","23.04","292.97","228.50","275.055326829219","291.206675570781","279.63619932","263.58075035","69.4164003052561","1","+6.24 B","5.21","+17.12","+6.86","+12.83","7.74","22.61","-47.49","-945.20","1.20"
"LOW","72.71","1.64","1.03","3.18","22.87","16.51","86.25","64.87","75.2582454905722","78.5707545094278","79.6632","76.36409978","44.891077464879","0.896385460464213","+7.40 B","7.43","+6.38","+3.78","+32.26","9.25","15.30","6.18","-223.72","1.00"
"LUV","60.46",".50","1.03","3.31","18.26","15.93","64.39","35.42","60.6278027583708","63.6331972416292","60.445","52.866750085","49.3843335459704","0","+5.95 B","13.03","+6.78","+3.21","+35.48","9.34","21.23","10.88","-33.42","0.66"
"MCD","154.305","3.76","0.84","5.66","27.26","24.26","156.75","110.33","152.165722080303","156.515277919697","151.4142","130.636499955","52.760928807149","0","+9.34 B","-2.69","+7.04","+1.37","+41.45","13.59","17.08","-5.54","N/A","1.40"
"MMM","212.58","4.70","0.8","8.27","25.7","23.65","214.57","163.85","207.620034501256","213.742965498744","206.0428","186.870200285","61.2244446192691","1","+8.49 B","17.26","+10.77","+4.14","+49.74","15.39","24.32","-1.99","-104.13","1.89"
"MSFT","74.0954","1.56","1.54","2.26","32.8","24.21","74.04","55.53","67.1452178185318","73.8707821814682","70.09","64.694550075","68.6455810208124","1","+27.29 B","9.22","+4.16","+1.74","+61.30","9.08","15.22","6.45","-56.65","2.35"
"PG","88.675","2.76","0.31","5.46","16.25","22.68","92","81.18","86.091822625128","89.700177374872","87.6962","87.3507","54.9022047307114","0.862178392382603","+17.56 B","21.10","+5.43","+1.65","+50.70","7.74","12.65","-4.71","-33.65","1.10"
"PSA","207.56","8","0.13","7.04","29.51","20.13","255.21","200.65","202.504919021929","214.11308097807","210.4844","215.830699925","48.7209996305256","0.643958428656601","N/A","29.11","+11.58","+0.05","+56.95","14.56","15.05","27.88","-7.71","N/A"
"PYPL","59.07","N/A","1.72","1.18","50.03","41.72","58.96","36.28","51.2354219456101","58.84557805439","52.8822","44.467350115","66.6967075931262","0.794823234352451","+2.19 B","12.19","+2.59","+2.04","+51.37","4.52","9.84","8.65","N/A","1.52"
"SO","47.315","2.32","0.23","2.72","17.38","15.89","54.64","46.20","45.6486236779145","50.7423763220856","49.6016","49.42719994","29.5798990878767","1","+8.02 B","25.00","+5.11","-4.97","+31.25","2.57","4.37","17.71","-172.18","0.75"
"T","36.52","1.96","0.92","2.04","17.91","12.51","43.50","35.81","35.714681325807","38.786318674193","38.007","39.725250115","31.1779542227529","0.164850178958962","+51.72 B","20.06","+6.36","+0.83","+37.28","3.22","5.43","-16.12","-92.32","0.76"
"UPS","112.55","3.32","1","3.92","28.74","18.83","120.44","102.12","108.503806887276","112.662193112724","108.1758","109.69489998","66.6580539814529","1","+7.30 B","0.47","+7.30","+0.98","+12.76","8.72","25.81","-5.89","-3,060.25","1.18"
"VLO","67.467","2.80","0.69","4.55","14.84","15.47","71.40","49.26","65.0875403817418","69.2044596182583","65.4174","64.62670023","59.6357622848129","0.431543736882502","+5.59 B","44.35","+10.39","+5.24","+4.85","5.02","8.22","44.02","-39.38","2.02"
"WMT","76.065","2.04","0.5","4.41","17.25","17.52","80.475","65.28","73.5981118201281","77.219888179872","76.8924","71.959050215","49.7679373896831","0.850885490320627","+32.12 B","25.52","+10.13","+4.72","+25.54","6.85","11.16","19.93","-54.01","0.86"
"YUM","74.535","1.20","0.74","3.85","19.35","26.56","91.99","59.57","72.7501865573239","74.9008134426761","72.615","66.3033657","59.2620162253584","0.942496638384421","+1.89 B","-15.93","+3.01","+0.10","+41.88","14.67","26.97","-17.88","N/A","1.08"
